50, 30, 80, 0
80, -18, 62, 0
62, 46, 108, 1
8, 15, 23, 1
23, -15, 8, 1
8, -4, 4, 1
4, 2, 6, 1
6, 47, 53, 1
53, 4, 57, 1
57, -34, 23, 1
23, -47, -24, 2
76, 38, 114, 3
14, 6, 20, 3
20, -42, -22, 4
78, -29, 49, 4
49, 7, 56, 4
56, -16, 40, 4
40, -46, -6, 5
94, 34, 128, 6
28, -40, -12, 7
88, 50, 138, 8
38, -49, -11, 9
89, 18, 107, 10
7, -14, -7, 11
93, 25, 118, 12
18, -4, 14, 12
14, 8, 22, 12
22, 39, 61, 12
61, -34, 27, 12
27, -11, 16, 12
16, 42, 58, 12
58, 31, 89, 12
89, -19, 70, 12
70, -20, 50, 12
50, 26, 76, 12
76, 40, 116, 13
16, 1, 17, 13
17, 39, 56, 13
56, -48, 8, 13
8, -43, -35, 14
65, 29, 94, 14
94, -29, 65, 14
65, -9, 56, 14
56, -50, 6, 14
6, 39, 45, 14
45, 23, 68, 14
68, 30, 98, 14
98, -15, 83, 14
83, -30, 53, 14
53, -4, 49, 14
49, -27, 22, 14
22, 76, 98, 14
98, 2, 100, 15
0, -97, -97, 15
3, 85, 88, 15
88, -55, 33, 15
33, -83, -50, 16
50, 69, 119, 17
19, 81, 100, 18
0, 28, 28, 18
28, -28, 0, 19
0, -24, -24, 19
76, -48, 28, 19
28, -28, 0, 20
0, 2, 2, 20
2, -2, 0, 21
0, 65, 65, 21
65, 35, 100, 22
0, 10, 10, 22
10, -10, 0, 23
0, 23, 23, 23
23, 63, 86, 23
86, -54, 32, 23
32, -32, 0, 24
0, -39, -39, 24
61, 84, 145, 25
45, 86, 131, 26
31, 69, 100, 27
0, -94, -94, 27
6, 94, 100, 28
0, 9, 9, 28
9, 49, 58, 28
58, -74, -16, 29
84, -84, 0, 30
0, 12, 12, 30
12, -99, -87, 31
13, -13, 0, 32
0, -1, -1, 32
99, -35, 64, 32
64, -13, 51, 32
51, -37, 14, 32
14, -14, 0, 33
0, 31, 31, 33
31, 45, 76, 33
76, -76, 0, 34
0, -38, -38, 34
62, 40, 102, 35
2, -33, -31, 36
69, -25, 44, 36
44, 77, 121, 37
21, 79, 100, 38
0, -38, -38, 38
62, 38, 100, 39
0, 90, 90, 39
90, 10, 100, 40
0, -41, -41, 40
59, -53, 6, 40
6, 27, 33, 40
33, 27, 60, 40
60, -60, 0, 41
0, -5, -5, 41
95, 50, 145, 42
45, 77, 122, 43
22, 10, 32, 43
32, -32, 0, 44
0, -80, -80, 44
20, -75, -55, 45
45, 98, 143, 46
43, -11, 32, 46
32, -87, -55, 47
45, -24, 21, 47
21, 81, 102, 48
2, 73, 75, 48
75, 25, 100, 49
0, -25, -25, 49
75, 10, 85, 49
85, 37, 122, 50
22, -22, 0, 51
0, -84, -84, 51
16, 284, 100, 54
0, -76, -76, 54
24, 976, 100, 64
